,station_train_code,train_no,train_type,train_code,from_station,from_station_name,to_station,to_station_name,from_station_telecode,to_station_telecode
8193,T6606(嘉峪关-武威),86000T660600,T,T6606,嘉峪关,嘉峪关,武威,武威,JGJ,WUJ
8194,T6613(兰州-金昌),85000T661301,T,T6613,兰州,兰州,金昌,金昌,LZJ,JCJ
8195,T6614(金昌-兰州),86000T661401,T,T6614,金昌,金昌,兰州,兰州,JCJ,LZJ
8196,T6701(汉口-荆门),39000T670101,T,T6701,汉口,汉口,荆门,荆门,HKN,JMN
8197,T6702(荆门-汉口),42000T670201,T,T6702,荆门,荆门,汉口,汉口,JMN,HKN
8198,T6703(荆门-武昌),42000T670601,T,T6703,荆门,荆门,武昌,武昌,JMN,WCN
8199,T6704(武昌-荆门),39000T670403,T,T6704,武昌,武昌,荆门,荆门,WCN,JMN
8200,T6705(武昌-荆门),39000T670403,T,T6705,武昌,武昌,荆门,荆门,WCN,JMN
8201,T6706(荆门-武昌),42000T670601,T,T6706,荆门,荆门,武昌,武昌,JMN,WCN
8202,T7015(西安-宝鸡),41000T701501,T,T7015,西安,西安,宝鸡,宝鸡,XAY,BJY
8203,T7016(宝鸡-西安),41000T701602,T,T7016,宝鸡,宝鸡,西安,西安,BJY,XAY
8204,T7565(平度-青岛),49000T756500,T,T7565,平度,平度,青岛,青岛,PAK,QDK
8205,T7566(青岛-平度),49000T756600,T,T7566,青岛,青岛,平度,平度,QDK,PAK
8206,T7567(平度-青岛北),49000T756700,T,T7567,平度,平度,青岛北,青岛北,PAK,QHK
8207,T7568(青岛北-平度),49000T756800,T,T7568,青岛北,青岛北,平度,平度,QHK,PAK
8208,T7771(盐城-南京),5f000T777100,T,T7771,盐城,盐城,南京,南京,AFH,NJH
8209,T7772(南京-盐城),54000T777210,T,T7772,南京,南京,盐城,盐城,NJH,AFH
8210,T7773(南京-盐城),54000T777210,T,T7773,南京,南京,盐城,盐城,NJH,AFH
8211,T7774(盐城-南京),5f000T777100,T,T7774,盐城,盐城,南京,南京,AFH,NJH
